# gnuplot data generated by MooNMD
#          x           y           p         psi         u-1         u-2         |u|
#
  2.50000000  5.00000000 -0.15073288  4.51486119  0.95285127  0.01151860  0.95292089


  2.50000000  6.00000000 -0.15105223  5.46629461  0.94980658 -0.00389729  0.94981457
  1.87500000  6.00000000 -0.15891983  5.59915404  0.96049292 -0.00296187  0.96049749
  1.87500000  5.50000000 -0.15937112  5.11875584  0.96090863  0.00453530  0.96091934
  2.50000000  5.50000000 -0.15150352  4.99096780  0.95126802  0.00328036  0.95127367
  2.50000000  6.00000000 -0.15105223  5.46629461  0.94980658 -0.00389729  0.94981457


  1.25000000  6.00000000 -0.16947193  5.73221810  0.97043461 -0.00296814  0.97043915
  1.25000000  5.50000000 -0.16978716  5.24699792  0.97027919  0.00462317  0.97029021
  1.87500000  5.50000000 -0.15922893  5.11875584  0.96090863  0.00453530  0.96091934
  1.87500000  6.00000000 -0.15891370  5.59915404  0.96049292 -0.00296187  0.96049749
  1.25000000  6.00000000 -0.16947193  5.73221810  0.97043461 -0.00296814  0.97043915


  1.25000000  5.00000000 -0.16823866  4.76179115  0.97040226  0.01246765  0.97048235
  1.87500000  5.00000000 -0.15780554  4.63809573  0.96152009  0.01268735  0.96160380
  1.87500000  5.50000000 -0.15932938  5.11875584  0.96090863  0.00453530  0.96091934
  1.25000000  5.50000000 -0.16976249  5.24699792  0.97027919  0.00462317  0.97029021
  1.25000000  5.00000000 -0.16823866  4.76179115  0.97040226  0.01246765  0.97048235


  2.50000000  7.00000000 -0.14655918  6.41522597  0.94794751 -0.01500458  0.94806625
  1.87500000  7.00000000 -0.15439247  6.55997162  0.96103430 -0.01543670  0.96115827
  1.87500000  6.50000000 -0.15708375  6.07945839  0.96051560 -0.00968712  0.96056445
  2.50000000  6.50000000 -0.14925047  5.94096919  0.94868504 -0.01000999  0.94873785
  2.50000000  7.00000000 -0.14655918  6.41522597  0.94794751 -0.01500458  0.94806625


  1.25000000  7.00000000 -0.16360402  6.70391229  0.97312686 -0.01689451  0.97327350
  1.25000000  6.50000000 -0.16703499  6.21767964  0.97125440 -0.01032556  0.97130928
  1.87500000  6.50000000 -0.15730557  6.07945839  0.96051560 -0.00968712  0.96056445
  1.87500000  7.00000000 -0.15387460  6.55997162  0.96103430 -0.01543670  0.96115827
  1.25000000  7.00000000 -0.16360402  6.70391229  0.97312686 -0.01689451  0.97327350


  1.25000000  6.00000000 -0.16932327  5.73221810  0.97043461 -0.00296814  0.97043915
  1.87500000  6.00000000 -0.15898579  5.59915404  0.96049292 -0.00296187  0.96049749
  1.87500000  6.50000000 -0.15703834  6.07945839  0.96051560 -0.00968712  0.96056445
  1.25000000  6.50000000 -0.16737582  6.21767964  0.97125440 -0.01032556  0.97130928
  1.25000000  6.00000000 -0.16932327  5.73221810  0.97043461 -0.00296814  0.97043915


  2.50000000  6.00000000 -0.15091488  5.46629461  0.94980658 -0.00389729  0.94981457
  2.50000000  6.50000000 -0.14920709  5.94096919  0.94868504 -0.01000999  0.94873785
  1.87500000  6.50000000 -0.15724267  6.07945839  0.96051560 -0.00968712  0.96056445
  1.87500000  6.00000000 -0.15895046  5.59915404  0.96049292 -0.00296187  0.96049749
  2.50000000  6.00000000 -0.15091488  5.46629461  0.94980658 -0.00389729  0.94981457


  0.00000000  7.00000000 -0.19037891  6.84570245  1.00000000  0.00000000  1.00000000
  0.00000000  6.50000000 -0.19658335  6.35534608  1.00000000  0.00000000  1.00000000
  0.62500000  6.50000000 -0.18027399  6.35715332  0.98305321 -0.00550420  0.98306862
  0.62500000  7.00000000 -0.17406956  6.84927469  0.98500765 -0.01008433  0.98505927
  0.00000000  7.00000000 -0.19037891  6.84570245  1.00000000  0.00000000  1.00000000


  0.00000000  6.00000000 -0.20006701  5.86498963  1.00000000  0.00000000  1.00000000
  0.62500000  6.00000000 -0.18293939  5.86564900  0.98265600 -0.00190464  0.98265784
  0.62500000  6.50000000 -0.17979623  6.35715332  0.98305321 -0.00550420  0.98306862
  0.00000000  6.50000000 -0.19692386  6.35534608  1.00000000  0.00000000  1.00000000
